"Player","Team","Position","Rk","Status","Age","Opponent","Salary","Score","GS","W","L-QS","IP","H","BB","K","SVH3","ERA","WHIP","GP"
"Kenta Maeda","LAD","SP,RP","1","FA","32","LAD 9<br/>@SF 0 F","22.0","77.42","26","10","3.5","153.2","114","51","169","5.0","4.04","1.074","37"
"Jordan Lyles","PIT/MIL","SP,RP","2","FA","30","MIL 3<br/>@COL 4 F","4.0","75.36","28","12","3.0","141","131","55","146","0.0","4.15","1.319","28"
"Martin Perez","MIN","SP,RP","3","FA","29","MIN 4<br/>@KC 5 F","4.0","70.82","29","10","1.5","165.1","184","67","135","0.0","5.12","1.518","32"
"Andrew Cashner","BAL/BOS","SP,RP","4","FA","34","BAL 4<br/>@BOS 5 F","4.0","70.58","23","11","2.5","150","144","58","108","3.0","4.68","1.347","42"
"Zach Eflin","PHI","SP,RP","5","FA","26","MIA 4<br/>@PHI 3 F","4.0","67.69","28","10","6.0","163.1","172","48","129","0.0","4.13","1.347","32"
"Ivan Nova","CHW","SP","6","FA","34","DET 3<br/>@CHW 5 F","7.0","67.19","34","11","6.5","187","225","47","114","0.0","4.72","1.455","34"
"Matt Barnes","BOS","RP","7","FA","30","BAL 4<br/>@BOS 5 F","4.0","66.88","0","5","4.0","64.1","51","38","110","17.0","3.78","1.383","70"
"Jakob Junis","KC","SP","8","FA","28","MIN 4<br/>@KC 5 F","4.0","66.57","31","9","8.0","175.1","192","58","164","0.0","5.24","1.426","31"
"Marcus Walden","BOS","RP","9","FA","32","BAL 4<br/>@BOS 5 F","4.0","65.2","0","9","2.0","78","61","32","76","5.0","3.81","1.192","70"
"Trent Thornton","TOR","SP","10","FA","27","TB 3<br/>@TOR 8 F","4.0","65.16","29","6","4.5","154.1","156","61","149","0.0","4.84","1.406","32"
"Tyler Duffey","MIN","RP","11","FA","30","MIN 4<br/>@KC 5 F","4.0","64.49","0","5","1.0","57.2","44","14","82","7.5","2.50","1.006","58"
"Jason Vargas","NYM/PHI","SP","12","FA","38","MIA 4<br/>@PHI 3 F","4.0","64.42","29","7","4.5","149.2","141","63","124","0.0","4.51","1.363","30"
"Trevor May","MIN","RP","13","FA","31","MIN 4<br/>@KC 5 F","7.0","64.22","0","5","3.0","64.1","43","26","79","10.5","2.94","1.073","65"
"Jake Arrieta","PHI","SP","14","FA","34","MIA 4<br/>@PHI 3 F","15.0","64.09","24","8","3.0","135.2","149","51","110","0.0","4.64","1.474","24"
"Felix Pena","LAA","SP,RP","15","FA","30","HOU 8<br/>@LAA 5 F","4.0","63.92","7","8","3.0","96.1","80","34","101","0.5","4.58","1.183","22"
"Trevor Williams","PIT","SP","16","FA","28","CIN 3<br/>@PIT 1 F","4.0","63.39","26","7","3.0","145.2","162","44","113","0.0","5.38","1.414","26"
"Nick Wittgren","CLE","RP","17","FA","29","CLE 2<br/>@WSH 8 F","4.0","62.49","0","5","1.0","57.2","47","15","60","10.0","2.81","1.075","55"
"Brad Peacock","HOU","SP,RP","18","FA","33","HOU 8<br/>@LAA 5 F","9.0","62.29","15","7","3.0","91.2","78","31","96","0.0","4.12","1.189","23"
"Diego Castillo","TB","SP,RP","19","FA","27","TB 3<br/>@TOR 8 F","4.0","62.14","6","5","8.0","68.2","59","26","81","16.5","3.41","1.238","65"
"Jalen Beeks","TB","SP,RP","20","FA","27","TB 3<br/>@TOR 8 F","4.0","62.05","3","6","3.0","104.1","115","40","89","2.0","4.31","1.486","33"
"Sam Gaviglio","TOR","SP,RP","21","FA","30","TB 3<br/>@TOR 8 F","4.0","60.91","0","4","2.0","95.2","85","22","88","1.5","4.61","1.118","52"
"Oliver Drake","TB","RP","22","FA","34","TB 3<br/>@TOR 8 F","4.0","60.23","0","5","2.0","56","36","19","70","7.5","3.21","0.982","50"
"Trevor Richards","MIA/TB","SP,RP","23","FA","27","TB 3<br/>@TOR 8 F","0.0","60.2","23","6","8.0","135.1","127","56","127","0.5","4.06","1.352","30"
"Adrian Houser","MIL","SP,RP","24","FA","28","MIL 3<br/>@COL 4 F","4.0","60.02","18","6","6.0","111.1","101","37","117","0.5","3.72","1.240","35"
"Blake Parker","MIN/PHI","RP","25","FA","35","MIA 4<br/>@PHI 3 F","8.0","59.71","2","3","3.0","61.1","53","22","65","16.5","4.55","1.223","60"
"Drew Pomeranz","SF/MIL","SP,RP","26","FA","32","MIL 3<br/>@COL 4 F","12.0","59.7","18","2","9.5","104","105","44","137","8.0","4.85","1.433","46"
"Joakim Soria","OAK","RP","27","FA","36","OAK 1<br/>@SEA 3 F","4.0","59.59","1","2","4.0","69","51","20","79","11.5","4.30","1.029","71"
"Freddy Peralta","MIL","SP,RP","28","FA","24","MIL 3<br/>@COL 4 F","1.0","59.16","8","7","2.0","85","87","37","115","4.0","5.29","1.459","39"
"John Brebbia","STL","RP","29","FA","30","CHC 0<br/>@STL 9 F","4.0","58.94","0","3","4.0","72.2","59","27","87","6.0","3.59","1.183","66"
"Robert Stephenson","CIN","SP,RP","30","FA","27","CIN 3<br/>@PIT 1 F","4.0","58.87","0","3","2.0","64.2","43","24","81","5.5","3.76","1.036","57"
"Tyler Clippard","CLE","RP","31","FA","36","CLE 2<br/>@WSH 8 F","4.0","58.63","3","1","0.0","62","38","15","64","4.0","2.90","0.855","53"
"Gio Gonzalez","NYY/MIL","SP","32","FA","35","MIL 3<br/>@COL 4 F","16.0","58.4","17","3","1.5","87.1","76","37","78","0.0","3.50","1.294","19"
"Steve Cishek","CHC","RP","33","FA","34","CHC 0<br/>@STL 9 F","0.0","58.26","0","4","6.0","64","48","29","57","13.0","2.95","1.203","70"
"Scott Barlow","KC","RP","34","FA","28","MIN 4<br/>@KC 5 F","4.0","58.1","0","3","3.0","70.1","64","37","92","8.0","4.22","1.436","61"
"Carlos Estevez","COL","RP","35","FA","28","MIL 3<br/>@COL 4 F","4.0","57.89","0","2","2.0","72","70","23","81","5.5","3.75","1.292","71"
"Joe Jimenez","DET","RP","36","FA","26","DET 3<br/>@CHW 5 F","7.0","57.76","0","4","7.0","59.2","56","23","82","16.5","4.37","1.324","66"
"Chris Martin","TEX/ATL","RP","37","FA","34","ATL 6<br/>@NYM 7 F","4.0","57.71","0","1","3.0","55.2","52","5","65","13.0","3.40","1.024","58"
"Luis Cessa","NYY","SP,RP","38","FA","28","NYY 1<br/>@TEX 6 F","4.0","57.7","0","2","1.0","81","75","31","75","3.0","4.11","1.309","43"
"Cam Bedrosian","LAA","SP,RP","39","FA","29","HOU 8<br/>@LAA 5 F","4.0","57.55","7","3","3.0","61.1","48","22","64","8.5","3.23","1.141","59"
"Brandon Kintzler","CHC","RP","40","FA","36","CHC 0<br/>@STL 9 F","4.0","57.54","0","3","3.0","57","45","13","48","9.5","2.68","1.018","62"
"Mychal Givens","BAL","RP","41","FA","30","BAL 4<br/>@BOS 5 F","4.0","57.43","0","2","6.0","63","49","26","86","14.5","4.57","1.190","58"
"Francisco Liriano","PIT","SP,RP","42","FA","37","CIN 3<br/>@PIT 1 F","4.0","57.4","0","5","3.0","70","60","35","63","6.0","3.47","1.357","69"
"Buck Farmer","DET","RP","43","FA","29","DET 3<br/>@CHW 5 F","4.0","57.07","1","6","6.0","67.2","62","24","73","7.5","3.72","1.271","73"
"Adam Kolarek","TB/LAD","RP","44","FA","32","LAD 9<br/>@SF 0 F","4.0","56.68","0","6","3.0","55","48","16","45","9.5","3.27","1.164","80"
"Wilmer Font","TB/NYM/TOR","SP,RP","45","FA","30","TB 3<br/>@TOR 8 F","4.0","56.38","17","4","5.0","84.1","78","29","95","1.0","4.48","1.269","48"
"Ariel Jurado","TEX","SP,RP","46","FA","25","NYY 1<br/>@TEX 6 F","0.0","56.3","18","7","7.5","122.1","148","36","81","0.5","5.81","1.504","32"
"Roenis Elias","SEA/WSH","RP","47","FA","32","CLE 2<br/>@WSH 8 F","4.0","56.23","0","4","2.0","50","46","18","47","15.0","3.96","1.280","48"
"Wander Suero","WSH","RP","48","FA","29","CLE 2<br/>@WSH 8 F","4.0","56.14","0","6","9.0","71.1","64","26","81","10.5","4.54","1.262","78"
"Aaron Brooks","OAK/BAL","SP,RP","49","FA","30","BAL 4<br/>@BOS 5 F","4.0","55.57","18","6","6.5","110","118","34","82","0.0","5.65","1.382","29"
"Andrew Chafin","ARI","RP","50","FA","30","SD 0<br/>@ARI 1 F","4.0","55.48","0","2","2.0","52.2","52","18","68","11.5","3.76","1.329","77"
"Evan Marshall","CHW","RP","51","FA","30","DET 3<br/>@CHW 5 F","4.0","55.47","0","4","2.0","50.2","42","24","41","9.5","2.49","1.303","55"
"CC Sabathia","NYY","SP","52","FA","40","NYY 1<br/>@TEX 6 F","6.0","55.4","22","5","5.0","107.1","112","39","107","0.0","4.95","1.407","23"
"Steven Brault","PIT","SP,RP","53","FA","28","CIN 3<br/>@PIT 1 F","4.0","55.29","19","4","3.5","113.1","117","53","100","0.0","5.16","1.500","25"
"Kyle Ryan","CHC","RP","54","FA","29","CHC 0<br/>@STL 9 F","4.0","55.27","0","4","2.0","61","55","29","58","7.0","3.54","1.377","73"
"Drew Smyly","TEX/MIL/PHI","SP,RP","55","FA","31","MIA 4<br/>@PHI 3 F","4.0","55.15","21","4","4.5","114","126","55","120","1.0","6.24","1.588","25"
"Hector Rondon","HOU","RP","56","FA","32","HOU 8<br/>@LAA 5 F","4.0","55.09","1","3","2.0","60.2","56","20","48","9.5","3.71","1.253","62"
"Adrian Sampson","TEX","SP,RP","57","FA","29","NYY 1<br/>@TEX 6 F","4.0","55.08","15","6","6.0","125.1","156","36","101","0.0","5.89","1.532","35"
"Josh Osich","CHW","RP","58","FA","32","DET 3<br/>@CHW 5 F","4.0","55.03","0","4","0.0","67.2","62","15","61","1.0","4.66","1.138","57"
"Tyler Mahle","CIN","SP","59","FA","26","CIN 3<br/>@PIT 1 F","4.0","55","25","3","8.5","129.2","136","34","129","0.0","5.14","1.311","25"
"Noe Ramirez","LAA","SP,RP","60","FA","31","HOU 8<br/>@LAA 5 F","4.0","54.95","7","5","4.0","67.2","59","20","79","1.5","3.99","1.167","51"
"Richard Rodriguez","PIT","RP","61","FA","30","CIN 3<br/>@PIT 1 F","4.0","54.95","0","4","5.0","65.1","65","23","63","9.0","3.72","1.347","72"
"Shaun Anderson","SF","SP,RP","62","FA","26","LAD 9<br/>@SF 0 F","4.0","54.86","16","3","3.0","96","111","38","70","2.5","5.44","1.552","28"
"Nick Ramirez","DET","1B,RP","63","FA","31","DET 3<br/>@CHW 5 F","4.0","54.77","0","5","4.0","79.2","76","35","74","0.5","4.07","1.393","46"
"Ryne Stanek","TB/MIA","SP,RP","64","FA","29","MIA 4<br/>@PHI 3 F","4.0","54.76","27","0","4.0","77","61","39","89","4.5","3.97","1.299","63"
"Colin Poche","TB","RP","65","FA","27","TB 3<br/>@TOR 8 F","4.0","54.74","0","5","5.0","51.2","33","19","72","10.5","4.70","1.006","51"
"Tyler Beede","SF","SP","66","FA","27","LAD 9<br/>@SF 0 F","4.0","54.59","22","5","7.0","117","127","46","113","0.0","5.08","1.479","24"
"Antonio Senzatela","COL","SP,RP","67","FA","26","MIL 3<br/>@COL 4 F","4.0","54.43","25","11","6.5","124.2","161","57","76","0.0","6.71","1.749","25"
"Jesse Chavez","TEX","SP,RP","68","FA","37","NYY 1<br/>@TEX 6 F","4.0","54.36","9","3","4.0","78","82","22","72","5.0","4.85","1.333","48"
"Jairo Diaz","COL","RP","69","FA","29","MIL 3<br/>@COL 4 F","4.0","54.34","0","6","4.0","57.2","56","19","63","8.5","4.53","1.301","56"
"Alex Claudio","MIL","RP","70","FA","29","MIL 3<br/>@COL 4 F","4.0","54.27","0","2","2.0","62","57","24","44","11.0","4.06","1.306","83"
"Javy Guerra","TOR/WSH","RP","71","FA","35","CLE 2<br/>@WSH 8 F","4.0","54.23","0","3","1.0","67.2","67","17","57","4.5","4.66","1.241","51"
"Jared Hughes","CIN/PHI","RP","72","FA","35","MIA 4<br/>@PHI 3 F","4.0","54.08","0","5","5.0","71.1","57","27","54","4.5","4.04","1.178","72"
"Jake Diekman","KC/OAK","RP","73","FA","34","OAK 1<br/>@SEA 3 F","4.0","54.05","0","1","7.0","62","49","39","84","15.5","4.65","1.419","76"
"Trevor Gott","SF","RP","74","FA","28","LAD 9<br/>@SF 0 F","4.0","54","0","7","0.0","52.2","41","17","57","1.5","4.44","1.101","50"
"Tyler Chatwood","CHC","SP,RP","75","FA","31","CHC 0<br/>@STL 9 F","4.0","53.99","5","5","2.5","76.2","65","37","74","3.5","3.76","1.330","38"
"Adam Cimber","CLE","RP","76","FA","30","CLE 2<br/>@WSH 8 F","4.0","53.89","0","6","3.0","56.2","56","19","41","10.5","4.45","1.324","68"
"Taylor Clarke","ARI","SP,RP","77","FA","27","SD 0<br/>@ARI 1 F","4.0","53.88","15","5","3.5","84.2","86","30","68","1.0","5.31","1.370","23"
"Bryan Shaw","COL","RP","78","FA","33","MIL 3<br/>@COL 4 F","4.0","53.86","0","3","2.0","72","69","29","58","7.0","5.38","1.361","70"
"Wade LeBlanc","SEA","SP,RP","79","FA","36","OAK 1<br/>@SEA 3 F","4.0","53.85","8","6","6.5","121.1","145","31","92","0.0","5.71","1.451","26"
"Daniel Norris","DET","SP","80","FA","27","DET 3<br/>@CHW 5 F","4.0","53.79","29","3","11.0","144.1","154","38","125","0.0","4.49","1.330","32"
"Jacob Waguespack","TOR","SP,RP","81","FA","27","TB 3<br/>@TOR 8 F","4.0","53.77","13","5","3.0","78","75","29","63","0.0","4.38","1.333","16"
"Glenn Sparkman","KC","SP,RP","82","FA","28","MIN 4<br/>@KC 5 F","4.0","53.64","23","4","8.0","136","164","41","81","0.0","6.02","1.507","31"
"Jorge Lopez","KC","SP,RP","83","FA","28","MIN 4<br/>@KC 5 F","4.0","53.54","18","4","7.0","123.2","140","42","109","1.0","6.33","1.472","39"
"Ryne Harper","SEA/MIN","RP","84","FA","31","MIN 4<br/>@KC 5 F","4.0","53.47","0","4","2.0","54.1","54","10","50","7.0","3.81","1.178","61"
"Josh Tomlin","MIL/ATL","SP,RP","85","FA","36","ATL 6<br/>@NYM 7 F","4.0","53.45","1","2","1.0","79.1","82","7","51","5.5","3.74","1.122","51"
"Miguel Castro","BAL","RP","86","FA","26","BAL 4<br/>@BOS 5 F","4.0","53.03","0","1","3.0","73.1","63","41","71","6.5","4.66","1.418","65"
"Shawn Kelley","TEX","RP","87","FA","36","NYY 1<br/>@TEX 6 F","4.0","53.02","0","5","2.0","47.1","55","11","43","14.0","4.94","1.394","50"
"Joe Biagini","TOR/HOU","RP","88","FA","30","HOU 8<br/>@LAA 5 F","4.0","52.99","0","3","2.0","64.2","71","26","60","7.0","4.59","1.500","63"
"Matt Albers","MIL","RP","89","FA","38","MIL 3<br/>@COL 4 F","4.0","52.98","0","8","6.0","59.2","53","29","57","9.0","5.13","1.374","67"
"Tony Watson","SF","RP","90","FA","35","LAD 9<br/>@SF 0 F","4.0","52.77","0","2","2.0","54","56","12","41","12.5","4.17","1.259","60"
"Tyler Webb","STL","RP","91","FA","30","CHC 0<br/>@STL 9 F","4.0","52.62","0","2","1.0","55","33","23","48","5.0","3.76","1.018","65"
"Jose Alvarez","PHI","RP","92","FA","31","MIA 4<br/>@PHI 3 F","4.0","52.58","1","3","4.0","59","66","18","51","9.0","3.36","1.424","67"
"Matt Andriese","ARI","SP,RP","93","FA","31","SD 0<br/>@ARI 1 F","4.0","52.56","0","5","5.0","70.2","72","27","79","3.0","4.71","1.401","54"
"Jacob Webb","ATL","RP","94","FA","27","ATL 6<br/>@NYM 7 F","4.0","52.44","0","4","0.0","32.1","24","12","28","6.5","1.39","1.113","36"
"Kevin Gausman","ATL/CIN","SP,RP","95","FA","30","CIN 3<br/>@PIT 1 F","13.0","51.9","17","3","6.0","102.1","113","32","114","1.0","5.72","1.417","31"
"Reyes Moronta","SF","RP","96","FA","28","LAD 9<br/>@SF 0 F","4.0","51.89","0","3","7.0","56.2","41","33","70","7.5","2.86","1.306","56"
"Casey Sadler","TB/LAD","RP","97","FA","30","LAD 9<br/>@SF 0 F","4.0","51.89","1","4","0.0","46.1","41","13","31","2.0","2.14","1.165","33"
"Luis Perdomo","SD","SP,RP","98","FA","27","SD 0<br/>@ARI 1 F","4.0","51.83","1","2","4.0","72","69","18","55","3.5","4.00","1.208","47"
"Yimi Garcia","LAD","RP","99","FA","30","LAD 9<br/>@SF 0 F","4.0","51.79","0","1","4.0","62.1","40","14","66","2.0","3.61","0.866","64"
"Chris Devenski","HOU","RP","100","FA","30","HOU 8<br/>@LAA 5 F","11.0","51.77","1","2","3.0","69","69","21","72","3.5","4.83","1.304","61"
"Ryan Brasier","BOS","RP","101","FA","33","BAL 4<br/>@BOS 5 F","1.0","51.67","0","2","4.0","55.2","51","21","61","12.0","4.85","1.293","62"
"Yoan Lopez","ARI","RP","102","FA","28","SD 0<br/>@ARI 1 F","4.0","51.56","0","2","7.0","60.2","52","17","42","11.5","3.41","1.137","70"
"Chaz Roe","TB","RP","103","FA","34","TB 3<br/>@TOR 8 F","4.0","51.35","0","1","3.0","51","49","31","65","12.5","4.06","1.569","71"
"Nestor Cortes Jr.","NYY","RP","104","FA","26","NYY 1<br/>@TEX 6 F","4.0","50.93","1","5","1.0","66.2","75","28","69","0.5","5.67","1.545","33"
"Justin Wilson","NYM","RP","105","FA","33","ATL 6<br/>@NYM 7 F","4.0","50.7","0","4","2.0","39","33","19","44","8.5","2.54","1.333","45"
"Jarlin Garcia","MIA","SP,RP","106","FA","28","MIA 4<br/>@PHI 3 F","4.0","50.49","0","4","2.0","50.2","40","16","39","3.0","3.02","1.105","53"
"Luis Garcia","LAA","RP","107","FA","34","HOU 8<br/>@LAA 5 F","4.0","50.45","2","2","1.0","62","61","33","57","4.0","4.35","1.516","64"
"Collin McHugh","HOU","SP,RP","108","FA","33","HOU 8<br/>@LAA 5 F","4.0","50.42","8","4","3.5","74.2","62","30","82","2.0","4.70","1.232","35"
"Jeurys Familia","NYM","RP","109","FA","31","ATL 6<br/>@NYM 7 F","8.0","50.37","0","4","2.0","60","62","42","63","7.0","5.70","1.733","66"
"Yoshi Hirano","ARI","RP","110","FA","36","SD 0<br/>@ARI 1 F","7.0","50.35","0","5","5.0","53","51","22","61","9.0","4.75","1.377","62"
"Nick Pivetta","PHI","SP,RP","111","FA","28","MIA 4<br/>@PHI 3 F","4.0","50.17","13","4","5.0","93.2","103","39","89","1.5","5.38","1.516","30"
"Derek Holland","SF/CHC","SP,RP","112","FA","34","CHC 0<br/>@STL 9 F","4.0","50.02","8","2","4.5","84.1","82","45","82","1.0","6.08","1.506","51"
"Michael Feliz","PIT","RP","113","FA","27","CIN 3<br/>@PIT 1 F","4.0","49.96","1","4","4.0","56.1","44","27","73","1.5","3.99","1.260","58"
"Robert Gsellman","NYM","RP","114","FA","27","ATL 6<br/>@NYM 7 F","4.0","49.8","0","2","3.0","63.2","64","23","60","4.5","4.66","1.366","52"
"Shawn Armstrong","SEA/BAL","RP","115","FA","30","BAL 4<br/>@BOS 5 F","4.0","49.5","0","1","1.0","58","66","29","63","8.5","5.74","1.638","55"
"Trey Wingenter","SD","RP","116","FA","26","SD 0<br/>@ARI 1 F","4.0","49.34","1","1","3.0","51","34","28","72","9.0","5.65","1.216","51"
"Anthony Bass","CIN/SEA","RP","117","FA","33","OAK 1<br/>@SEA 3 F","4.0","49.31","0","2","4.0","48","30","17","43","8.0","3.56","0.979","44"
"Elieser Hernandez","MIA","SP,RP","118","FA","25","MIA 4<br/>@PHI 3 F","4.0","49.28","15","3","3.5","82.1","76","26","85","0.0","5.03","1.239","21"
"Josh Taylor","BOS","RP","119","FA","27","BAL 4<br/>@BOS 5 F","4.0","48.96","1","2","2.0","47.1","40","16","62","2.0","3.04","1.183","52"
"Mike Montgomery","CHC/KC","SP,RP","120","FA","31","MIN 4<br/>@KC 5 F","6.0","48.92","13","3","7.5","91","113","34","69","1.5","4.95","1.615","33"
"Richard Bleier","BAL","RP","121","FA","33","BAL 4<br/>@BOS 5 F","4.0","48.81","1","3","0.0","55.1","65","8","30","6.5","5.37","1.319","53"
"Kevin McCarthy","KC","RP","122","FA","28","MIN 4<br/>@KC 5 F","4.0","48.7","0","4","2.0","60.1","68","21","38","4.0","4.48","1.475","56"
"Joe Kelly","LAD","RP","123","FA","32","LAD 9<br/>@SF 0 F","4.0","48.64","0","5","4.0","51.1","49","22","62","5.0","4.56","1.383","55"
"Ryan Buchter","OAK","RP","124","FA","34","OAK 1<br/>@SEA 3 F","4.0","48.56","0","1","1.0","45.1","42","23","50","6.0","2.98","1.434","64"
"Justin Anderson","LAA","RP","125","FA","28","HOU 8<br/>@LAA 5 F","4.0","48.46","0","3","0.0","47","42","32","60","6.5","5.55","1.574","54"
"Kevin Ginkel","ARI","SP,RP","126","FA","26","SD 0<br/>@ARI 1 F","4.0","48.41","0","3","0.0","24.1","15","9","28","6.5","1.48","0.986","25"
"Lou Trivino","OAK","RP","127","FA","29","OAK 1<br/>@SEA 3 F","4.0","48.35","0","4","6.0","60","61","31","57","9.0","5.25","1.533","61"
"Greg Holland","ARI/WSH","RP","128","FA","35","CLE 2<br/>@WSH 8 F","4.0","48.33","0","1","2.0","35.2","25","24","41","17.0","4.54","1.374","40"
"Zack Littell","MIN","SP,RP","129","FA","25","MIN 4<br/>@KC 5 F","4.0","48.06","0","6","0.0","37","34","9","32","0.5","2.68","1.162","29"
"Erick Fedde","WSH","SP,RP","130","FA","27","CLE 2<br/>@WSH 8 F","4.0","47.88","12","4","0.0","78","81","33","41","0.0","4.50","1.462","21"
"Zack Godley","ARI/TOR","SP,RP","131","FA","30","","9.0","47.84","9","4","4.5","92","96","42","70","2.0","5.97","1.500","33"
"Jace Fry","CHW","RP","132","FA","27","DET 3<br/>@CHW 5 F","4.0","47.81","0","3","4.0","55","44","43","68","6.0","4.75","1.582","68"
"Tanner Rainey","WSH","RP","133","FA","28","CLE 2<br/>@WSH 8 F","4.0","47.81","0","2","3.0","48.1","32","38","74","4.5","3.91","1.448","52"
"Oliver Perez","CLE","RP","134","FA","39","CLE 2<br/>@WSH 8 F","4.0","47.66","0","2","4.0","40.2","38","12","48","12.0","3.98","1.230","67"
"Tim Mayza","TOR","RP","135","FA","29","TB 3<br/>@TOR 8 F","4.0","47.57","0","1","3.0","51.1","45","27","55","9.0","4.91","1.403","68"
"Gabriel Ynoa","BAL","SP,RP","136","FA","27","BAL 4<br/>@BOS 5 F","4.0","47.55","13","1","8.5","110.2","126","26","67","0.0","5.61","1.373","36"
"Tim Hill","KC","RP","137","FA","31","MIN 4<br/>@KC 5 F","4.0","47.36","0","2","0.0","39.2","31","13","39","5.5","3.63","1.109","46"
"Brett Martin","TEX","SP,RP","138","FA","25","NYY 1<br/>@TEX 6 F","4.0","47.22","2","2","3.0","62.1","72","18","62","2.0","4.76","1.444","51"
"Ranger Suarez","PHI","SP,RP","139","FA","25","MIA 4<br/>@PHI 3 F","4.0","47.17","0","6","1.0","48.2","52","12","42","3.0","3.14","1.315","37"
"Cory Gearrin","SEA/NYY","RP","140","FA","34","NYY 1<br/>@TEX 6 F","4.0","47.15","2","1","3.0","55.1","55","25","47","6.5","4.07","1.446","66"
"Austin Brice","MIA","RP","141","FA","28","MIA 4<br/>@PHI 3 F","4.0","46.94","0","1","0.0","44.2","37","18","46","3.0","3.43","1.231","36"
"Asher Wojciechowski","CLE/BAL","SP","142","FA","32","BAL 4<br/>@BOS 5 F","4.0","46.92","16","4","6.0","82.1","80","28","80","0.0","4.92","1.312","17"
"Andrew Kittredge","TB","SP,RP","143","FA","30","TB 3<br/>@TOR 8 F","4.0","46.89","7","1","0.0","49.2","51","12","58","1.0","4.17","1.268","37"
"Nick Goody","CLE","RP","144","FA","29","CLE 2<br/>@WSH 8 F","4.0","46.65","0","3","2.0","40.2","30","22","50","5.0","3.54","1.279","39"
"Rowan Wick","CHC","RP","145","FA","28","CHC 0<br/>@STL 9 F","4.0","46.5","0","2","0.0","33.1","22","16","35","4.5","2.43","1.140","31"
"Trevor Cahill","LAA","SP,RP","146","FA","32","HOU 8<br/>@LAA 5 F","4.0","46.44","11","4","7.5","102.1","111","39","81","0.0","5.98","1.466","37"
"Pedro Strop","CHC","RP","147","FA","35","CHC 0<br/>@STL 9 F","4.0","46.23","0","2","5.0","41.2","33","20","49","13.0","4.97","1.272","50"
"Jeremy Jeffress","MIL","RP","148","FA","33","","1.0","46.1","0","3","4.0","52","54","17","46","7.0","5.02","1.365","48"
"Tyler Kinley","MIA","RP","149","FA","30","MIA 4<br/>@PHI 3 F","4.0","46","0","3","1.0","49.1","43","36","46","1.5","3.65","1.601","52"
"Jose Urena","MIA","SP,RP","150","FA","29","MIA 4<br/>@PHI 3 F","4.0","45.97","13","4","6.0","84.2","99","26","62","3.0","5.21","1.476","24"
"Dylan Floro","LAD","RP","151","FA","30","LAD 9<br/>@SF 0 F","0.0","45.88","0","5","3.0","46.2","46","14","42","3.0","4.24","1.286","50"
"Thomas Pannone","TOR","SP,RP","152","FA","26","TB 3<br/>@TOR 8 F","4.0","45.78","7","3","5.5","73","73","31","69","0.5","6.16","1.425","37"
"Brad Brach","CHC/NYM","RP","153","FA","34","ATL 6<br/>@NYM 7 F","4.0","45.48","0","5","4.0","54.1","57","31","60","3.0","5.47","1.620","58"
"Hunter Wood","TB/CLE","SP,RP","154","FA","27","CLE 2<br/>@WSH 8 F","4.0","45.46","2","1","1.0","45.1","46","12","39","2.0","2.98","1.279","36"
"Devin Smeltzer","MIN","SP,RP","155","FA","25","MIN 4<br/>@KC 5 F","4.0","45.21","6","2","1.0","49","50","12","38","1.5","3.86","1.265","11"
"Dereck Rodriguez","SF","SP,RP","156","FA","28","LAD 9<br/>@SF 0 F","7.0","45.06","16","6","9.5","99","108","36","71","0.0","5.64","1.455","28"
"Daniel Mengden","OAK","SP,RP","157","FA","27","OAK 1<br/>@SEA 3 F","4.0","44.92","9","5","0.5","59.2","59","27","42","1.0","4.83","1.441","13"
"Colten Brewer","BOS","RP","158","FA","28","BAL 4<br/>@BOS 5 F","4.0","44.9","0","1","2.0","54.2","59","34","52","3.0","4.12","1.701","58"
"Matt Wisler","CIN/SD/SEA","SP,RP","159","FA","28","OAK 1<br/>@SEA 3 F","4.0","44.9","8","3","4.0","51.1","56","16","63","4.0","5.61","1.403","44"
"Austin Pruitt","TB","RP","160","FA","31","TB 3<br/>@TOR 8 F","4.0","44.82","2","3","0.0","47","47","12","39","0.0","4.40","1.255","14"
"Rafael Montero","TEX","RP","161","FA","30","NYY 1<br/>@TEX 6 F","4.0","44.73","0","2","0.0","29","23","5","34","3.5","2.48","0.966","22"
"Heath Hembree","BOS","RP","162","FA","32","BAL 4<br/>@BOS 5 F","4.0","44.7","0","1","0.0","39.2","34","18","46","4.0","3.86","1.311","45"
"Jhoulys Chacin","MIL/BOS","SP","163","FA","33","BAL 4<br/>@BOS 5 F","9.0","44.56","24","3","10.0","103.1","115","46","101","0.0","6.01","1.558","25"
"T.J. McFarland","ARI","RP","164","FA","31","SD 0<br/>@ARI 1 F","4.0","44.53","0","0","0.0","56","71","20","35","4.5","4.82","1.625","51"
"Dario Agrazal","PIT","SP","165","FA","26","CIN 3<br/>@PIT 1 F","4.0","44.21","14","4","2.5","73.1","82","18","41","0.0","4.91","1.364","15"
"Matt Shoemaker","TOR","SP","166","FA","34","TB 3<br/>@TOR 8 F","4.0","43.91","5","3","-1.5","28.2","16","9","24","0.0","1.57","0.872","5"
"David Hale","NYY","RP","167","FA","33","NYY 1<br/>@TEX 6 F","4.0","43.9","0","3","0.0","37.2","39","7","23","2.0","3.11","1.221","20"
"Drew VerHagen","DET","SP,RP","168","FA","30","DET 3<br/>@CHW 5 F","4.0","43.85","4","4","2.5","58","70","23","51","0.5","5.90","1.603","22"
